""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PIGH"	25.1768504813057	0.783664747458186	0.330928988447324	2.36807525123453	0.0178808986072468	0.0612545514261233
"PIGK"	15.3263925213298	-0.0187323821634282	0.383591574365029	-0.0488341856685368	0.961051438440717	0.978191563391216
"PIGL"	8.75884603285943	0.991048543771989	0.523957011761594	1.89146918835953	0.0585617402499007	0.145618194432042
"PIGM"	12.5022987519602	0.637620431491347	0.457951455765146	1.39233192397218	0.163821908624231	0.304191296386674
"PIGN"	8.44882571753084	-1.14122094657866	0.578529449817038	-1.97262377384517	0.0485384423472318	0.127575024720456
"PIGO"	41.6133845451388	-0.494028158019036	0.331786548906594	-1.48899393193338	0.136488966638507	0.267292278579763
"PIGP"	16.2484555362368	1.27683666626553	0.395208109035025	3.23079571768698	0.00123446133195207	0.00828572329481879
"PIGQ"	15.510012091137	-0.614578480893944	0.412364335111935	-1.49037738854675	0.136125034469968	0.266891014658109
"PIGS"	51.6756534594873	0.0886717814046432	0.302678692768716	0.29295680047224	0.769555171910181	0.857219934051049
"PIGT"	62.6438726573973	0.454894231531828	0.272324424692186	1.67041289831422	0.0948376994466092	0.20692218035902
"PIGU"	21.9475947401766	0.0240473750906856	0.36792379069958	0.0653596633285422	0.947887639376663	0.970406059976612
"PIGV"	7.43616359949842	0.789805641619338	0.552177517672136	1.43034733639463	0.152617355122232	0.289339923753013
"PIGW"	19.3593301479894	-0.590645442432398	0.395174510564961	-1.49464458521877	0.135007223646878	0.265364715709718
"PIGX"	19.143372967308	0.0595932582477138	0.366954923390917	0.162399396898755	0.870991345739907	0.924492472938769
"PIGY"	79.3412783680052	1.19525859428833	0.275838744148576	4.33317878522722	1.46971659356416e-05	0.000293332094420612
"PIGZ"	1.29974917932131	0.428124421543007	1.29174479966029	0.331431116777553	0.740318864018663	NA
"PIH1D1"	35.515256817006	0.934574513928655	0.291431490312758	3.20684121309502	0.00134201048173956	0.00880985443455886
"PIK3AP1"	5.54789040987527	1.87390723022061	0.752675024945389	2.4896630924569	0.0127864238307895	0.0472977148318335
"PIK3C2A"	10.175717944654	-1.5806300082413	0.536017527606768	-2.94884015322887	0.00318968907470694	0.0168552238492272
"PIK3C2B"	1.30992631437858	-0.705099007431651	1.27599688728521	-0.552586777019344	0.58054639851763	NA
"PIK3C3"	5.33323701887646	-0.115551306391687	0.640266126609548	-0.180473871081662	0.856780565440683	0.914329387620097
"PIK3CA"	4.34965823429535	-0.673894641160259	0.780271195258449	-0.863667203474101	0.387770734981023	0.547682585056945
"PIK3CB"	5.50322181344322	-2.81404008150622	0.82889643355245	-3.39492362085082	0.000686477487144789	0.00527882688221026
"PIK3CD"	2.95332711874976	-0.939015903874867	0.8400070853492	-1.11786664690395	0.263623951793714	0.424419286831051
"PIK3IP1"	1.09832967937798	-0.665328767970318	1.33592959948086	-0.498026818350956	0.618465139832889	NA
"PIK3R1"	2.94536507662618	-0.554804593455139	0.857471726916957	-0.647023774707933	0.51761655654063	0.665659459612783
"PIK3R2"	10.6010076910927	-1.46125960248711	0.503169075675888	-2.90411250040407	0.00368295794855064	0.0187486354970095
"PIK3R3"	3.61926019579628	3.43286106684954	1.04036328443408	3.29967533284963	0.000967967407253181	0.00693963766092548
