	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
386	60556196.0	0.0	4294902800.0	73852.0	113301.0	112996.0	262122.0	262143.0	125028.0	39959.0	50817.0	96580.0	75.0	78.0	68556.0	48.0	48.0	53852.0	39.0	40.0	60700.0	121112.0
392	60568750.0	0.0	4294902800.0	53951.0	92121.0	134464.0	262122.0	262143.0	144880.0	34747.0	45437.0	99236.0	37.0	38.0	58228.0	16.0	18.0	14056.0	19.0	9.0	19576.0	121137.0
397	60586450.0	0.0	4294902800.0	61720.0	109928.0	138100.0	262122.0	262143.0	140328.0	38900.0	52611.0	102772.0	50.0	50.0	72652.0	29.0	35.0	67396.0	14.0	12.0	29020.0	121173.0
399	60591764.0	0.0	4294902800.0	61809.0	122804.0	159860.0	262122.0	262143.0	171392.0	60111.0	84748.0	106772.0	130.0	165.0	87400.0	27.0	28.0	59584.0	50.0	38.0	42580.0	121184.0
400	60595564.0	0.0	4294902800.0	70844.0	133505.0	148240.0	262122.0	262143.0	150960.0	41731.0	58499.0	106700.0	27.0	28.0	54308.0	17.0	17.0	42632.0	19.0	13.0	35600.0	121191.0
401	60600480.0	0.0	4294902800.0	54936.0	88576.0	126664.0	262122.0	262143.0	143508.0	33058.0	43861.0	101176.0	22.0	27.0	64304.0	9.0	4.0	13788.0	12.0	6.0	19784.0	121201.0
403	60607044.0	0.0	4294902800.0	53276.0	87895.0	127784.0	262122.0	262143.0	121268.0	28254.0	36943.0	98564.0	31.0	28.0	27840.0	15.0	7.0	14872.0	16.0	5.0	11388.0	121214.0
404	60608464.0	0.0	4294902800.0	51190.0	93572.0	145332.0	262122.0	262143.0	125588.0	31402.0	41737.0	101976.0	28.0	26.0	48780.0	14.0	13.0	20540.0	17.0	15.0	22944.0	121217.0
405	60614810.0	0.0	4294902800.0	63307.0	167420.0	226808.0	262122.0	262143.0	231660.0	41423.0	91745.0	177304.0	38.0	64.0	115792.0	30.0	42.0	41992.0	58.0	81.0	91276.0	121230.0
409	60618720.0	0.0	4294902800.0	56072.0	107733.0	153840.0	259422.0	262143.0	140360.0	42329.0	60790.0	108772.0	59.0	73.0	75956.0	25.0	18.0	16752.0	35.0	29.0	24916.0	121237.0
410	60620064.0	0.0	4294902800.0	70514.0	115902.0	120784.0	262122.0	262143.0	154436.0	48270.0	66041.0	105104.0	104.0	137.0	91456.0	51.0	65.0	85320.0	67.0	74.0	47672.0	121240.0
416	60633924.0	0.0	4294902800.0	53114.0	88583.0	127932.0	262122.0	262143.0	117608.0	33694.0	44619.0	100852.0	39.0	44.0	70716.0	15.0	6.0	22652.0	12.0	13.0	22524.0	121268.0
417	60638264.0	0.0	4294902800.0	55710.0	95275.0	130044.0	262122.0	262143.0	133072.0	33898.0	44864.0	100264.0	40.0	37.0	70040.0	36.0	24.0	29832.0	27.0	25.0	36456.0	121277.0
418	60641504.0	0.0	4294902800.0	61590.0	110964.0	134508.0	262122.0	262143.0	153740.0	46038.0	66074.0	110328.0	51.0	58.0	51504.0	30.0	37.0	38248.0	11.0	5.0	15424.0	121283.0
419	60644550.0	0.0	4294902800.0	65929.0	108112.0	130988.0	262122.0	262143.0	149072.0	36550.0	47984.0	102200.0	41.0	44.0	71604.0	15.0	16.0	54220.0	18.0	6.0	14648.0	121289.0
421	60649624.0	0.0	4294902800.0	62266.0	97806.0	120720.0	262122.0	262143.0	129428.0	25981.0	31469.0	92632.0	32.0	29.0	43072.0	26.0	23.0	20836.0	25.0	20.0	30176.0	121299.0
423	60662090.0	0.0	4294902800.0	57516.0	103647.0	142476.0	262122.0	262143.0	141512.0	30593.0	41247.0	102780.0	28.0	25.0	42140.0	25.0	30.0	17412.0	7.0	3.0	9240.0	121324.0
425	60664972.0	0.0	4294902800.0	59287.0	100066.0	129712.0	262122.0	262143.0	125296.0	38421.0	53514.0	106676.0	41.0	52.0	73700.0	43.0	44.0	53068.0	61.0	75.0	75144.0	121330.0
426	60678804.0	0.0	4294902800.0	65223.0	119711.0	148932.0	262122.0	262143.0	148024.0	36895.0	48983.0	101044.0	39.0	39.0	46728.0	16.0	27.0	78508.0	19.0	21.0	20388.0	121358.0
429	60685756.0	0.0	4294902800.0	82598.0	140811.0	127004.0	262122.0	262143.0	130672.0	46556.0	66408.0	109240.0	94.0	113.0	83784.0	47.0	67.0	96768.0	47.0	60.0	88168.0	121372.0
430	60694216.0	0.0	4294902800.0	73665.0	119091.0	120596.0	262122.0	262143.0	142980.0	27781.0	37239.0	102604.0	35.0	29.0	25520.0	13.0	4.0	10032.0	11.0	3.0	24316.0	121388.0
431	60701216.0	0.0	4294902800.0	65270.0	114944.0	137448.0	262122.0	262143.0	148980.0	35088.0	49759.0	106584.0	54.0	65.0	85012.0	17.0	12.0	18360.0	30.0	15.0	17884.0	121402.0
432	60704444.0	0.0	4294902800.0	62334.0	107395.0	133268.0	262122.0	262143.0	148852.0	35774.0	46721.0	99228.0	28.0	25.0	50304.0	13.0	6.0	14964.0	15.0	21.0	37960.0	121409.0
434	60706580.0	0.0	4294902800.0	50347.0	98056.0	156912.0	262122.0	262143.0	151828.0	35862.0	48231.0	101824.0	27.0	34.0	66104.0	11.0	4.0	13384.0	5.0	2.0	14508.0	121413.0
436	60709496.0	0.0	4294902800.0	55986.0	94579.0	128596.0	262122.0	262143.0	136756.0	35757.0	47352.0	101408.0	46.0	43.0	68472.0	37.0	30.0	28828.0	25.0	25.0	21892.0	121419.0
438	60713844.0	0.0	4294902800.0	66192.0	124907.0	147180.0	262122.0	262143.0	151388.0	54927.0	76216.0	105980.0	68.0	76.0	68404.0	42.0	52.0	75296.0	32.0	32.0	45200.0	121428.0
439	60717280.0	0.0	4294902800.0	49420.0	92207.0	148552.0	262122.0	262143.0	147168.0	25339.0	32496.0	96944.0	22.0	20.0	40748.0	14.0	17.0	51984.0	19.0	28.0	45760.0	121435.0
440	60731944.0	0.0	4294902800.0	68029.0	106958.0	119444.0	262122.0	262143.0	115148.0	22148.0	28718.0	98860.0	43.0	54.0	96032.0	7.0	9.0	39760.0	61.0	88.0	91800.0	121464.0
441	60738020.0	0.0	4294902800.0	64814.0	99048.0	119632.0	262122.0	262143.0	126584.0	28410.0	37993.0	102248.0	42.0	49.0	59056.0	30.0	38.0	57204.0	23.0	9.0	14988.0	121476.0
442	60738548.0	0.0	4294902800.0	66672.0	108392.0	124236.0	254546.0	262143.0	109448.0	46191.0	62158.0	102092.0	78.0	85.0	67040.0	34.0	46.0	65156.0	46.0	42.0	28452.0	121477.0
443	60742420.0	0.0	4294902800.0	53705.0	84905.0	123548.0	262122.0	262143.0	123196.0	29766.0	38327.0	97896.0	19.0	22.0	66552.0	1.0	1.0	4748.0	13.0	7.0	9388.0	121485.0
445	60745520.0	0.0	4294902800.0	53974.0	100401.0	152004.0	262122.0	262143.0	143912.0	38591.0	53400.0	104940.0	62.0	66.0	64252.0	18.0	20.0	50788.0	21.0	30.0	28156.0	121491.0
449	60747920.0	0.0	4294902800.0	67868.0	105317.0	115428.0	262122.0	262143.0	123288.0	34294.0	45187.0	100548.0	30.0	26.0	46740.0	21.0	15.0	22996.0	10.0	4.0	10520.0	121496.0
450	60756050.0	0.0	4294902800.0	59886.0	95825.0	120676.0	262122.0	262143.0	122332.0	34556.0	47054.0	103280.0	33.0	41.0	59832.0	22.0	21.0	40104.0	33.0	34.0	44448.0	121512.0
451	60756960.0	0.0	4294902800.0	58004.0	95911.0	128996.0	262122.0	262143.0	126220.0	31724.0	39861.0	95076.0	39.0	38.0	61704.0	28.0	19.0	30960.0	22.0	8.0	17992.0	121514.0
453	60763850.0	0.0	4294902800.0	63057.0	121713.0	161368.0	262122.0	262143.0	171188.0	33449.0	48288.0	111588.0	41.0	28.0	32668.0	11.0	13.0	45772.0	6.0	4.0	31280.0	121528.0
454	60769476.0	0.0	4294902800.0	70066.0	108010.0	118572.0	262122.0	262143.0	124396.0	37461.0	45609.0	92180.0	29.0	25.0	34984.0	6.0	3.0	9564.0	2.0	2.0	5244.0	121539.0
455	60775196.0	0.0	4294902800.0	58399.0	99745.0	132228.0	262122.0	262143.0	124216.0	24467.0	32221.0	100788.0	49.0	56.0	70448.0	24.0	29.0	62364.0	24.0	28.0	68440.0	121550.0
457	60780644.0	0.0	4294902800.0	73641.0	119274.0	121920.0	262122.0	262143.0	144064.0	41323.0	54702.0	100740.0	56.0	63.0	69184.0	28.0	38.0	77568.0	20.0	20.0	44236.0	121561.0
458	60783084.0	0.0	4294902800.0	51856.0	85650.0	127776.0	262122.0	262143.0	113828.0	24548.0	31455.0	98480.0	59.0	70.0	71608.0	23.0	25.0	44828.0	17.0	15.0	30496.0	121566.0
459	60788000.0	0.0	4294902800.0	72821.0	137113.0	143024.0	262122.0	262143.0	162280.0	50076.0	74719.0	113484.0	30.0	32.0	63916.0	10.0	13.0	59580.0	17.0	8.0	30104.0	121576.0
461	60792176.0	0.0	4294902800.0	60483.0	115224.0	154636.0	262122.0	262143.0	161460.0	42194.0	57705.0	104576.0	59.0	64.0	75340.0	19.0	24.0	43928.0	41.0	36.0	31776.0	121584.0
462	60793920.0	0.0	4294902800.0	60150.0	115545.0	157052.0	262122.0	262143.0	160104.0	37011.0	50820.0	105136.0	35.0	39.0	76508.0	18.0	24.0	49808.0	8.0	6.0	17880.0	121588.0
464	60798908.0	0.0	4294902800.0	63166.0	122240.0	157612.0	262122.0	262143.0	159708.0	37717.0	51159.0	103764.0	33.0	38.0	73936.0	9.0	5.0	11496.0	25.0	32.0	43924.0	121598.0
466	60808336.0	0.0	4294902800.0	73966.0	113308.0	117288.0	262122.0	262143.0	124772.0	32080.0	38863.0	90908.0	16.0	19.0	31484.0	12.0	15.0	36616.0	10.0	9.0	16852.0	121617.0
467	60809410.0	0.0	4294902800.0	49792.0	90964.0	147864.0	243606.0	262143.0	125340.0	30747.0	39406.0	97540.0	48.0	58.0	78212.0	16.0	15.0	24532.0	1.0	1.0	5100.0	121619.0
469	60819280.0	0.0	4294902800.0	53712.0	87931.0	130032.0	262122.0	262143.0	122460.0	27208.0	34066.0	95404.0	29.0	26.0	63816.0	11.0	11.0	45744.0	28.0	32.0	33912.0	121639.0
