	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
395	64812790.0	0.0	4294902800.0	45765.0	109264.0	194304.0	214173.0	262143.0	162488.0	36097.0	68828.0	153312.0	25.0	42.0	44428.0	64.0	105.0	127392.0	8.0	2.0	7924.0	129626.0
401	64826760.0	0.0	4294902800.0	72486.0	138042.0	152724.0	262122.0	262143.0	178916.0	49142.0	70750.0	109512.0	42.0	40.0	52296.0	55.0	77.0	95184.0	18.0	19.0	28396.0	129654.0
402	64831296.0	0.0	4294902800.0	65755.0	147168.0	194724.0	262122.0	262143.0	194864.0	45955.0	80461.0	126240.0	49.0	74.0	79176.0	110.0	146.0	94152.0	27.0	34.0	46908.0	129663.0
403	64833268.0	0.0	4294902800.0	61798.0	143102.0	205536.0	262122.0	262143.0	136296.0	34831.0	85499.0	204780.0	45.0	39.0	39988.0	51.0	78.0	85396.0	11.0	6.0	28512.0	129667.0
407	64842844.0	0.0	4294902800.0	83620.0	130756.0	120180.0	262122.0	262143.0	127488.0	55758.0	70574.0	95692.0	108.0	109.0	76892.0	175.0	216.0	93296.0	43.0	45.0	58704.0	129686.0
408	64846900.0	0.0	4294902800.0	60162.0	101185.0	132972.0	237581.0	262143.0	133556.0	34335.0	46285.0	103728.0	50.0	49.0	42332.0	58.0	72.0	72040.0	38.0	30.0	35844.0	129694.0
409	64847570.0	0.0	4294902800.0	76696.0	121014.0	108636.0	260397.0	262143.0	132464.0	54888.0	76832.0	107532.0	100.0	97.0	64188.0	80.0	95.0	64728.0	23.0	22.0	46824.0	129695.0
410	64856304.0	0.0	4294902800.0	58644.0	107905.0	141848.0	262122.0	262143.0	133060.0	37586.0	50363.0	102088.0	30.0	33.0	38868.0	45.0	39.0	47804.0	29.0	34.0	47868.0	129713.0
411	64858456.0	0.0	4294902800.0	74050.0	145621.0	156560.0	262122.0	262143.0	162984.0	68315.0	96924.0	108380.0	91.0	109.0	85440.0	125.0	159.0	98340.0	44.0	57.0	90868.0	129717.0
413	64860416.0	0.0	4294902800.0	59085.0	101401.0	136476.0	262122.0	262143.0	130680.0	31220.0	39279.0	95112.0	25.0	18.0	38788.0	38.0	34.0	49564.0	38.0	27.0	42508.0	129721.0
414	64867876.0	0.0	4294902800.0	60811.0	103847.0	135012.0	262122.0	262143.0	141884.0	36681.0	47869.0	99232.0	32.0	29.0	42280.0	67.0	69.0	78192.0	13.0	6.0	29368.0	129736.0
416	64874320.0	0.0	4294902800.0	65625.0	122533.0	153000.0	262122.0	262143.0	160948.0	39740.0	55245.0	106060.0	26.0	25.0	63720.0	61.0	78.0	88880.0	24.0	18.0	32028.0	129749.0
417	64876940.0	0.0	4294902800.0	83074.0	143900.0	139728.0	262122.0	262143.0	159396.0	70504.0	92601.0	99452.0	37.0	32.0	56900.0	104.0	137.0	88836.0	31.0	30.0	39264.0	129754.0
419	64880610.0	0.0	4294902800.0	60191.0	132855.0	180480.0	262122.0	262143.0	177092.0	43764.0	63392.0	110820.0	27.0	31.0	47408.0	66.0	91.0	86756.0	16.0	19.0	67520.0	129761.0
422	64883840.0	0.0	4294902800.0	56497.0	114480.0	166784.0	262122.0	262143.0	163808.0	50178.0	68011.0	103080.0	53.0	42.0	48468.0	104.0	125.0	73708.0	27.0	32.0	64964.0	129768.0
423	64894036.0	0.0	4294902800.0	64475.0	115647.0	141284.0	262122.0	262143.0	161036.0	45473.0	69222.0	117368.0	31.0	28.0	31960.0	53.0	67.0	97996.0	26.0	41.0	53708.0	129788.0
424	64899364.0	0.0	4294902800.0	73217.0	122909.0	128676.0	262122.0	262143.0	148264.0	32118.0	44143.0	104364.0	27.0	29.0	55732.0	92.0	111.0	80608.0	20.0	17.0	28772.0	129799.0
425	64899988.0	0.0	4294902800.0	60766.0	99852.0	128916.0	262122.0	262143.0	130704.0	39667.0	51909.0	100020.0	14.0	18.0	17684.0	48.0	56.0	76520.0	16.0	19.0	28900.0	129800.0
426	64903932.0	0.0	4294902800.0	53339.0	100045.0	149332.0	262122.0	262143.0	148320.0	40441.0	56014.0	104544.0	133.0	145.0	81252.0	113.0	171.0	108292.0	33.0	46.0	67560.0	129808.0
427	64905148.0	0.0	4294902800.0	54507.0	91445.0	134892.0	238075.0	262143.0	130472.0	38280.0	49087.0	100720.0	62.0	67.0	80020.0	98.0	128.0	79540.0	47.0	54.0	69408.0	129810.0
429	64908616.0	0.0	4294902800.0	62046.0	112340.0	143192.0	262122.0	262143.0	143880.0	38206.0	50197.0	99700.0	26.0	25.0	50292.0	54.0	76.0	97372.0	10.0	8.0	32956.0	129817.0
431	64911750.0	0.0	4294902800.0	50588.0	130565.0	220680.0	262122.0	262143.0	185628.0	32126.0	75795.0	189560.0	26.0	48.0	127804.0	32.0	32.0	56792.0	15.0	12.0	24700.0	129824.0
432	64913308.0	0.0	4294902800.0	63111.0	120878.0	113116.0	233467.0	262143.0	172744.0	39284.0	78726.0	188844.0	18.0	22.0	38672.0	78.0	157.0	151768.0	26.0	17.0	16664.0	129827.0
433	64917068.0	0.0	4294902800.0	84538.0	137918.0	124940.0	262122.0	262143.0	139084.0	59247.0	78299.0	101292.0	29.0	31.0	73444.0	59.0	80.0	89876.0	32.0	38.0	48336.0	129834.0
434	64922976.0	0.0	4294902800.0	64981.0	110087.0	129688.0	262122.0	262143.0	142988.0	33169.0	41672.0	95272.0	13.0	11.0	38548.0	43.0	51.0	91568.0	13.0	6.0	19964.0	129846.0
436	64924790.0	0.0	4294902800.0	66913.0	107832.0	125800.0	262122.0	262143.0	130852.0	41864.0	54937.0	100236.0	51.0	56.0	77132.0	75.0	102.0	102648.0	24.0	14.0	19764.0	129850.0
438	64952504.0	0.0	4294902800.0	69571.0	119344.0	137076.0	262122.0	262143.0	118912.0	38174.0	50666.0	101468.0	26.0	33.0	73676.0	53.0	65.0	88636.0	17.0	14.0	16528.0	129905.0
439	64954628.0	0.0	4294902800.0	47416.0	90991.0	153764.0	248665.0	262143.0	139012.0	29823.0	37514.0	94772.0	15.0	9.0	27412.0	48.0	55.0	72936.0	1.0	2.0	8564.0	129909.0
440	64955650.0	0.0	4294902800.0	43945.0	123691.0	245964.0	222040.0	262143.0	219060.0	44672.0	81432.0	125316.0	41.0	49.0	79028.0	126.0	166.0	89624.0	31.0	32.0	52528.0	129911.0
442	64964530.0	0.0	4294902800.0	65188.0	114796.0	136648.0	262122.0	262143.0	143576.0	41888.0	58985.0	108376.0	38.0	31.0	42584.0	65.0	73.0	73740.0	27.0	14.0	18472.0	129929.0
445	64967796.0	0.0	4294902800.0	58761.0	100607.0	133680.0	262122.0	262143.0	121956.0	34486.0	45263.0	100400.0	18.0	11.0	20448.0	39.0	47.0	45264.0	14.0	13.0	29796.0	129936.0
447	64975110.0	0.0	4294902800.0	67382.0	105209.0	116088.0	262122.0	262143.0	122524.0	40359.0	53069.0	100132.0	11.0	13.0	24228.0	57.0	64.0	79688.0	16.0	8.0	21000.0	129950.0
449	64979584.0	0.0	4294902800.0	62152.0	101212.0	127368.0	262122.0	262143.0	134520.0	34704.0	44959.0	98464.0	60.0	67.0	74484.0	16.0	6.0	13448.0	53.0	50.0	53076.0	129959.0
453	64987070.0	0.0	4294902800.0	63731.0	104788.0	125632.0	262122.0	262143.0	126252.0	33711.0	42391.0	94428.0	14.0	9.0	30160.0	45.0	39.0	54112.0	15.0	13.0	20692.0	129974.0
454	64995376.0	0.0	4294902800.0	56436.0	101383.0	144460.0	262122.0	262143.0	125720.0	31878.0	41339.0	99208.0	15.0	12.0	24152.0	47.0	47.0	60732.0	8.0	4.0	11400.0	129991.0
455	64997776.0	0.0	4294902800.0	48707.0	115357.0	188840.0	262122.0	262143.0	162964.0	32143.0	57665.0	144920.0	14.0	7.0	20532.0	54.0	57.0	34268.0	15.0	13.0	20604.0	129996.0
