	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
332	1319336700.0	0.0	4294901800.0	79985.0	143570.0	136904.0	262122.0	262143.0	152920.0	61539.0	93188.0	116088.0	88.0	114.0	82620.0	46.0	54.0	71892.0	162.0	267.0	131428.0	2638673.0
342	1389613400.0	0.0	4294901800.0	88152.0	125463.0	109516.0	262122.0	262143.0	124744.0	28031.0	32451.0	87216.0	88.0	102.0	90108.0	31.0	37.0	69804.0	144.0	147.0	70120.0	2779227.0
359	1485408300.0	0.0	4294901800.0	79124.0	163412.0	168912.0	262122.0	262143.0	168256.0	55865.0	84862.0	116012.0	48.0	68.0	90540.0	35.0	37.0	65032.0	51.0	63.0	70564.0	2970816.0
369	1513668500.0	0.0	4294902500.0	86863.0	140827.0	123576.0	262122.0	262143.0	132992.0	49050.0	65178.0	101112.0	63.0	76.0	74400.0	152.0	199.0	93992.0	63408.0	88365.0	104516.0	3027337.0
370	1513685900.0	0.0	4294902500.0	74127.0	125587.0	126844.0	262122.0	262143.0	118348.0	50339.0	66536.0	99828.0	95.0	115.0	84652.0	43.0	42.0	73264.0	77.0	103.0	75460.0	3027372.0
373	1515180500.0	0.0	4294902500.0	68207.0	94373.0	106660.0	239635.0	262143.0	100580.0	24364.0	29794.0	92076.0	100.0	108.0	64664.0	25.0	25.0	52560.0	70.0	76.0	70904.0	3030361.0
378	1534432900.0	0.0	4294902500.0	80276.0	177337.0	188092.0	262122.0	262143.0	169652.0	36056.0	79456.0	174796.0	83.0	174.0	161000.0	41.0	81.0	143136.0	13076.0	17178.0	103268.0	3068866.0
403	1617843600.0	0.0	4294901800.0	72784.0	109917.0	118620.0	262122.0	262143.0	120388.0	26719.0	32363.0	91096.0	48.0	47.0	51796.0	24.0	14.0	31268.0	151.0	178.0	89924.0	3235687.0
421	1674829200.0	0.0	4294901800.0	66936.0	101112.0	116308.0	262122.0	262143.0	118708.0	31199.0	40604.0	99040.0	55.0	65.0	72444.0	22.0	22.0	20896.0	38.0	31.0	35976.0	3349658.0
425	1684518100.0	0.0	4294901800.0	70503.0	129505.0	151160.0	262122.0	262143.0	154372.0	38761.0	55227.0	109272.0	38.0	43.0	54764.0	16.0	17.0	32620.0	35.0	32.0	61532.0	3369036.0
429	1694226400.0	0.0	4294901800.0	80306.0	158101.0	150816.0	262122.0	262143.0	164256.0	68342.0	104099.0	118072.0	166.0	253.0	110540.0	79.0	108.0	92924.0	342.0	619.0	138472.0	3388453.0
444	1756101400.0	0.0	4294901800.0	88197.0	151920.0	132304.0	262122.0	262143.0	156836.0	42758.0	56646.0	101148.0	83.0	98.0	75416.0	42.0	46.0	65308.0	58.0	69.0	52904.0	3512203.0
445	1756901500.0	0.0	4294901800.0	71706.0	151049.0	170792.0	262122.0	262143.0	164588.0	55870.0	83215.0	114596.0	60.0	64.0	65848.0	31.0	38.0	23824.0	113.0	139.0	80644.0	3513803.0
446	1761888500.0	0.0	4294901800.0	63815.0	112150.0	139756.0	238933.0	262143.0	137048.0	40555.0	55029.0	103324.0	4051.0	5345.0	100204.0	43.0	35.0	43752.0	7055.0	10705.0	117804.0	3523777.0
454	1798087400.0	0.0	4294901800.0	70571.0	98922.0	108644.0	262122.0	262143.0	98760.0	34518.0	41461.0	90148.0	1280.0	1579.0	94872.0	70.0	61.0	50612.0	1703.0	2022.0	90332.0	3596175.0
459	1822372700.0	0.0	4294901800.0	74787.0	96414.0	98680.0	209258.0	262143.0	102212.0	39620.0	45798.0	87344.0	513.0	606.0	86856.0	396.0	454.0	84024.0	169.0	185.0	81208.0	3644745.0
462	1826227100.0	0.0	4294901800.0	94673.0	169188.0	143328.0	262122.0	262143.0	149280.0	60205.0	84735.0	107804.0	122.0	146.0	91540.0	44.0	65.0	96480.0	91.0	113.0	86328.0	3652454.0
467	1843295700.0	0.0	4294901800.0	91193.0	149541.0	127776.0	262122.0	262143.0	146928.0	42794.0	55098.0	98092.0	41.0	31.0	42796.0	23.0	24.0	36932.0	37.0	42.0	46892.0	3686592.0
469	1847175800.0	0.0	4294901800.0	80597.0	136563.0	126360.0	262122.0	262143.0	123128.0	43969.0	56584.0	97552.0	56.0	54.0	64152.0	26.0	11.0	20380.0	25.0	32.0	72116.0	3694352.0
486	1918621400.0	0.0	4294901800.0	82514.0	142153.0	135480.0	262122.0	262143.0	147508.0	47131.0	62072.0	99680.0	85.0	102.0	84384.0	40.0	44.0	66748.0	88.0	102.0	77464.0	3837243.0
488	1921674600.0	0.0	4294901800.0	61971.0	114975.0	150188.0	213213.0	262143.0	152236.0	36983.0	54538.0	112420.0	114.0	144.0	85840.0	39.0	57.0	104800.0	60.0	73.0	62188.0	3843349.0
504	1994527900.0	0.0	4294901800.0	66572.0	101842.0	120696.0	262122.0	262143.0	110488.0	34066.0	45025.0	99652.0	24.0	23.0	49040.0	17.0	9.0	20616.0	68.0	72.0	70044.0	3989056.0
506	1996924500.0	0.0	4294901800.0	78614.0	173357.0	196360.0	262122.0	262143.0	209268.0	34659.0	75545.0	176280.0	52.0	97.0	136264.0	37.0	49.0	40956.0	54.0	102.0	118612.0	3993849.0
525	2072155900.0	0.0	4294901800.0	66723.0	110458.0	130524.0	262122.0	262143.0	119564.0	34189.0	42881.0	94652.0	4247.0	5309.0	95568.0	72.0	80.0	71992.0	11205.0	16347.0	114056.0	4144312.0
536	2123799400.0	0.0	4294902500.0	63356.0	172814.0	234076.0	262122.0	262143.0	231048.0	47612.0	104889.0	183108.0	80.0	166.0	117208.0	48.0	113.0	90156.0	4021.0	6475.0	121840.0	4247599.0
539	2133904000.0	0.0	4294902500.0	71845.0	164017.0	195676.0	262122.0	262143.0	173440.0	39173.0	78088.0	162472.0	79.0	163.0	154144.0	37.0	61.0	72940.0	51.0	90.0	124756.0	4267808.0
550	2172175600.0	0.0	4294901800.0	76867.0	119894.0	119976.0	262122.0	262143.0	112428.0	26246.0	34132.0	98164.0	64.0	75.0	86724.0	36.0	32.0	26824.0	67.0	69.0	70244.0	4344351.0
554	2191648800.0	0.0	4294901800.0	81181.0	131010.0	128828.0	262122.0	262143.0	140900.0	42405.0	55355.0	98032.0	132.0	170.0	92104.0	36.0	53.0	96300.0	137.0	166.0	85672.0	4383298.0
558	2219979300.0	0.0	4294901800.0	90346.0	150633.0	127160.0	262122.0	262143.0	144656.0	40085.0	51644.0	98020.0	72.0	86.0	91792.0	39.0	48.0	77248.0	66.0	80.0	85548.0	4439958.0
564	2237837000.0	0.0	4294901800.0	89033.0	161168.0	137956.0	262122.0	262143.0	143016.0	55387.0	78605.0	108100.0	133.0	165.0	94324.0	56.0	82.0	102488.0	84.0	132.0	114808.0	4475674.0
568	2249523200.0	0.0	4294901800.0	74794.0	126482.0	127928.0	262122.0	262143.0	112476.0	43290.0	55691.0	97952.0	57.0	63.0	78488.0	26.0	24.0	38764.0	39.0	28.0	45496.0	4499047.0
570	2258514700.0	0.0	4294901800.0	59663.0	87646.0	116336.0	204104.0	262143.0	120792.0	23532.0	30929.0	100700.0	91.0	126.0	95348.0	15.0	21.0	63744.0	13.0	16.0	55180.0	4517030.0
573	2264407300.0	0.0	4294901800.0	65795.0	90243.0	106756.0	206458.0	254608.0	92556.0	33505.0	37682.0	86052.0	343.0	392.0	84044.0	266.0	315.0	91780.0	114.0	133.0	90568.0	4528815.0
577	2275794700.0	0.0	4294901800.0	78680.0	93173.0	84820.0	262122.0	262143.0	95640.0	18261.0	23186.0	93484.0	5.0	3.0	22548.0	8224.0	10960.0	98668.0	262122.0	262143.0	184016.0	4551589.0
579	2281910500.0	0.0	4294901800.0	88950.0	166315.0	147116.0	262122.0	262143.0	151100.0	68052.0	83998.0	93212.0	149.0	156.0	73376.0	87.0	100.0	73508.0	123.0	160.0	98860.0	4563821.0
619	2441692400.0	0.0	4294901800.0	74283.0	133610.0	149860.0	262122.0	262143.0	151916.0	40292.0	53686.0	101232.0	78.0	74.0	58780.0	519.0	603.0	83268.0	172873.0	216430.0	94428.0	4883385.0
631	2509985800.0	0.0	4294901800.0	72575.0	135474.0	151972.0	262122.0	262143.0	153820.0	52763.0	69259.0	99808.0	116.0	138.0	80028.0	55.0	56.0	79088.0	60.0	100.0	134228.0	5019972.0
645	2581905700.0	0.0	4294901800.0	83474.0	128066.0	114612.0	262122.0	262143.0	142708.0	34371.0	43886.0	97124.0	75.0	74.0	61544.0	43.0	38.0	50172.0	84.0	103.0	98104.0	5163811.0
649	2590902500.0	0.0	4294901800.0	72224.0	132302.0	147704.0	262122.0	262143.0	140268.0	50220.0	66661.0	100088.0	99.0	128.0	90248.0	50.0	60.0	61940.0	472.0	762.0	127420.0	5181805.0
657	2600887600.0	0.0	4294901800.0	66330.0	157769.0	188380.0	253807.0	262143.0	153348.0	38249.0	79849.0	163980.0	2476.0	4772.0	153616.0	94.0	201.0	157544.0	39298.0	79619.0	166024.0	5201775.0
680	2707284200.0	0.0	4294901800.0	93291.0	157653.0	130972.0	262122.0	262143.0	132508.0	57105.0	74002.0	98756.0	117.0	129.0	77824.0	40.0	51.0	79468.0	147.0	175.0	92124.0	5414568.0
682	2712478700.0	0.0	4294901800.0	78322.0	126302.0	135084.0	262122.0	262143.0	137712.0	38119.0	48687.0	97620.0	105.0	122.0	79768.0	61.0	78.0	72784.0	2814.0	4100.0	111932.0	5424958.0
683	2714882600.0	0.0	4294901800.0	81659.0	130462.0	123996.0	262122.0	262143.0	125208.0	51630.0	67905.0	100440.0	110.0	112.0	70180.0	39.0	37.0	54484.0	71.0	92.0	79548.0	5429765.0
684	2716565200.0	0.0	4294901800.0	84084.0	100996.0	92500.0	262122.0	262143.0	90848.0	49730.0	52649.0	79700.0	238.0	235.0	72004.0	208.0	221.0	83796.0	103.0	102.0	66696.0	5433130.0
685	2717748200.0	0.0	4294901800.0	99506.0	146068.0	110792.0	262122.0	262143.0	121388.0	36190.0	43789.0	91520.0	93.0	96.0	62788.0	38.0	40.0	67084.0	64.0	72.0	67840.0	5435496.0
686	2721082600.0	0.0	4294901800.0	91401.0	110033.0	91308.0	262122.0	262143.0	94904.0	60886.0	62731.0	77560.0	97.0	104.0	77092.0	21.0	18.0	32952.0	231.0	249.0	77040.0	5442165.0
689	2721847300.0	0.0	4294901800.0	72644.0	123261.0	137884.0	262122.0	262143.0	131468.0	38878.0	49640.0	97228.0	59.0	69.0	71648.0	194.0	224.0	77788.0	76900.0	109833.0	114420.0	5443695.0
690	2723757000.0	0.0	4294901800.0	67264.0	124378.0	149116.0	262122.0	262143.0	146904.0	37405.0	50149.0	102112.0	87.0	98.0	81192.0	36.0	34.0	61524.0	1253.0	1820.0	117772.0	5447514.0
693	2724767700.0	0.0	4294901800.0	101604.0	159882.0	126284.0	262122.0	262143.0	132864.0	40991.0	48724.0	89664.0	103.0	106.0	74176.0	50.0	51.0	64696.0	80.0	61.0	56056.0	5449535.0
694	2728638200.0	0.0	4294901800.0	72848.0	116809.0	123300.0	262122.0	262143.0	122436.0	35541.0	49912.0	106948.0	48.0	52.0	75792.0	31.0	40.0	68796.0	128.0	141.0	81788.0	5457276.0
696	2729877000.0	0.0	4294901800.0	77894.0	143668.0	146392.0	262122.0	262143.0	138908.0	44898.0	56965.0	96328.0	69.0	89.0	84652.0	43.0	31.0	31044.0	52.0	69.0	89876.0	5459754.0
698	2731387600.0	0.0	4294901800.0	74487.0	114962.0	119376.0	262122.0	262143.0	119200.0	34462.0	44093.0	97004.0	79.0	95.0	73880.0	30.0	36.0	89780.0	104.0	139.0	94524.0	5462775.0
701	2735532300.0	0.0	4294901800.0	69582.0	120868.0	132808.0	262122.0	262143.0	135564.0	51056.0	77912.0	116580.0	71.0	88.0	87288.0	41.0	41.0	53404.0	118.0	165.0	110404.0	5471064.0
702	2737543400.0	0.0	4294901800.0	69119.0	167853.0	194828.0	262122.0	262143.0	190108.0	57317.0	107408.0	146600.0	2297.0	3022.0	96776.0	853.0	1052.0	88888.0	262122.0	262143.0	94640.0	5475087.0
703	2737663500.0	0.0	4294901800.0	74277.0	109295.0	116088.0	262122.0	262143.0	141216.0	34055.0	49587.0	111572.0	98.0	124.0	93508.0	65.0	72.0	64172.0	119.0	167.0	94140.0	5475327.0
706	2742453200.0	0.0	4294901800.0	75478.0	166175.0	184680.0	262122.0	262143.0	194448.0	62483.0	99661.0	123580.0	16783.0	26850.0	122624.0	76.0	101.0	81152.0	2747.0	5610.0	166012.0	5484906.0
707	2744060000.0	0.0	4294901800.0	97266.0	171519.0	140540.0	262122.0	262143.0	156888.0	50023.0	67974.0	103124.0	1347.0	1762.0	101136.0	70.0	73.0	84552.0	3130.0	5180.0	127768.0	5488120.0
708	2748294400.0	0.0	4294901800.0	79235.0	166444.0	168808.0	262122.0	262143.0	169932.0	58699.0	88243.0	113692.0	3744.0	5405.0	109976.0	58.0	81.0	85344.0	120.0	175.0	106772.0	5496589.0
711	2794020400.0	0.0	4294901800.0	70398.0	123390.0	143984.0	262122.0	262143.0	142044.0	39086.0	54153.0	106188.0	57.0	70.0	87472.0	23.0	11.0	36688.0	26.0	32.0	72680.0	5588041.0
720	2809311500.0	0.0	4294901800.0	100047.0	145273.0	110872.0	262122.0	262143.0	144584.0	37262.0	46132.0	93892.0	76.0	82.0	67140.0	43.0	38.0	56676.0	90.0	109.0	84140.0	5618623.0
722	2818951700.0	0.0	4294901800.0	75267.0	94675.0	98236.0	221195.0	262143.0	94548.0	49335.0	53044.0	81008.0	670.0	743.0	83864.0	542.0	638.0	92000.0	246.0	277.0	87036.0	5637904.0
726	2876710100.0	0.0	4294901800.0	74311.0	134804.0	142908.0	262122.0	262143.0	147132.0	47351.0	62057.0	99140.0	72.0	70.0	70320.0	41.0	35.0	43072.0	106.0	141.0	102048.0	5753420.0
732	2896931300.0	0.0	4294901800.0	72658.0	162150.0	169364.0	262122.0	262143.0	174528.0	42030.0	100530.0	200076.0	87.0	186.0	173324.0	55.0	138.0	168596.0	6460.0	10921.0	124564.0	5793862.0
838	3055581000.0	0.0	4294911200.0	52805.0	122409.0	178452.0	188890.0	262143.0	163604.0	31109.0	40073.0	92608.0	2.0	2.0	7956.0	12.0	9.0	27764.0	1.0	2.0	12392.0	6111162.0
903	3108645400.0	0.0	4294905000.0	65821.0	130246.0	140888.0	262122.0	262143.0	139580.0	31245.0	61786.0	148576.0	1.0	1.0	7556.0	14.0	6.0	18208.0	0.0	1.0	4336.0	6217291.0
