"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
65317.8,37711.5,31.4213,461.445,233.478,1.53658
38334.9,28317.5,89.5375,448.931,184.58,1.56292
92645,50425,82.3683,468.939,361.866,1.57368
72902.8,45092.1,80.7906,712.794,241.001,1.5754
58834,29952.3,41.5174,513.746,188.228,1.57658
114314,61372.7,83.2332,629.983,436.317,1.5907
69549.2,51803.4,100.195,569.296,320.944,1.59349
44508.3,34314.9,62.7888,786.23,220.327,1.59578
65565.3,46912.4,65.1896,339.486,248.799,1.62761
27183.8,18107.4,274.587,247.917,102.01,1.64469
90867.2,39426.5,23.1897,576.4,275.525,1.65002
61782.7,39452.8,81.8085,490.632,236.105,1.65646
114946,70281.7,60.438,12246.4,405.358,1.66128
72185.8,40964.4,42.4494,528.697,220.185,1.66694
52071.1,31709.7,82.3683,584.149,231.489,1.67159
76718.4,45158.7,130.211,606.317,354.623,1.67182
52444.2,31634,87.6065,647.425,241.072,1.67457
63941,28487,80.078,467.051,202.727,1.68332
70813.3,34161.3,88.318,622.186,305.934,1.68878
58629.1,47178.1,119.975,535.797,240.576,1.69004
40674.7,35777.3,30.3858,335.307,184.437,1.69729
74129.4,52659,156.981,680.724,319.122,1.70939
71253.3,34593,109084,15369.3,214.774,1.72757
88610.8,46390,38.6179,601.868,274.537,1.73079
102638,39461.5,104.502,421.85,327.176,1.73587
107500,51585.1,73.6082,501.657,402.039,1.73747
88872.5,35703.6,39.6535,227.355,229.642,1.76039
47720.5,20703.2,39.8606,412.014,168.534,1.7612
51189.4,25038.6,67.5891,216.791,156.044,1.77485
102225,74517.8,78.3468,565.532,412.267,1.78033
63506.9,40491.4,64.5767,308.604,210.713,1.78483
76019.4,37459.3,64.3724,317.498,242.916,1.78622
62641.4,40466,92.2803,434.856,271.714,1.79019
134525,65502.2,48.0415,712.981,457.669,1.79121
101343,38595.3,110.93,564.515,332.563,1.79949
94697.6,65239.1,102.172,422.71,384.448,1.80012
39649.2,20845.4,57.8798,280.389,138.201,1.80196
51357.4,29905,38.7733,489.843,156.906,1.80929
58876.6,31494.6,63.1976,302.771,230.992,1.81017
49966.7,28516.2,58.9554,320.439,223.101,1.81636
101743,48157,50.7858,514.289,320.103,1.84058
74789.6,51309.7,76.3602,332.936,306.987,1.84252
95799.9,65603.3,128.7,919.432,297.29,1.84527
91228.4,64231.1,50.8376,520.865,355.32,1.84815
58359.4,36228.5,57.828,445.018,274.255,1.85269
51453.3,35307.9,75.9017,447.219,239.937,1.86181
62023.7,28074.2,35.0454,326.316,220.754,1.87207
127580,55640.8,74.9335,509.88,421.65,1.88268
68774.3,43267.9,73.5573,311.173,289.832,1.8839
118670,77547.5,137.308,997.092,480.654,1.88584
105036,40682.6,89.9948,558.473,325.706,1.88842
63974.2,27234,42.6047,448.319,183.65,1.89267
60988.9,39079.7,85.7255,484.686,218.049,1.90484
82988.8,48500.5,66.6703,399.139,242.774,1.91466
51117.3,39015.2,72.2826,522.131,190.873,1.92061
43158.2,30380.3,59.8757,504.077,122.044,1.92981
26944.4,26009.1,60.9491,513.202,155.9,1.93387
80604.1,38982.1,127.289,517.488,252.978,1.98075
56072.1,34401.6,48.5593,535.857,302.211,1.98605
68517,57379,91.6202,321.19,252.199,2.01371
97337.5,44697.4,833.009,356.107,328.926,2.01549
57928.9,36773.7,57.9316,429.339,236.744,2.0242
68439.9,39854.6,61.6136,311.424,298.275,2.03355
61913.7,31561.9,71.3137,404.379,210.072,2.03587
62611.5,39538.8,91.1631,524.662,228.15,2.04082
85841.9,63190.6,87.9114,828.912,349.464,2.04708
59140.1,31036.2,37.4789,299.696,188.657,2.05681
104121,66301.9,63.3508,453.207,353.508,2.07367
74602.4,38006.9,49.336,447.097,203.155,2.09582
90191.2,38126,103.084,305.845,330.185,2.10202
122894,50739.8,175113,9844.18,410.471,2.10457
98979.6,47737.8,59.0065,617.75,295.11,2.10791
37234.7,20062,67.8443,341.73,150.869,2.11423
79171.7,40657.3,105.11,510.968,263.802,2.13402
89988.5,47797.6,97.1525,477.456,330.745,2.14095
22535.7,26666.2,75.7488,506.616,196.517,2.14462
83724.3,54806.3,101.665,465.894,385.627,2.15886
52669.3,22931.6,81.8594,396.98,186.511,2.17103
87148.8,54048.9,137.66,815.057,369.727,2.17826
37218.3,22457,23.1897,295.362,148.999,2.17984
103831,60076.8,79.2125,521.227,319.192,2.18222
78251.4,50786.5,4731.64,283.16,294.055,2.18367
70684.5,46879.9,59.8245,360.394,221.038,2.21093
54928.3,44869.2,82.1139,401.236,258.215,2.21383
76535.8,33620.8,57.8798,547.627,250.074,2.22082
75081.9,66769.9,84.7592,418.225,374.036,2.22273
88823.9,39388.7,60.2846,414.659,239.228,2.25298
82404.5,40332.6,99.536,549.067,317.37,2.27965
103711,51600.5,122.094,524.301,308.742,2.30247
91465.1,59988.6,102.982,509.518,358.246,2.30793
44290.4,19781.3,48.3004,312.426,174.556,2.3243
27740.1,22640.1,27.5384,345.841,163.01,2.3274
66715.9,33716.3,818.931,506.375,237.667,2.33272
109136,48949.7,49.3877,562.901,323.536,2.33326
70087,32441.7,38.2037,478.247,228.505,2.3334
84286.5,62341.5,144.545,610.052,369.449,2.33794
32667.4,26831.3,55.8085,281.837,172.693,2.34144
105436,70852,116.49,459.676,397.681,2.3539
61470.2,40201.3,39.5499,414.844,270.372,2.35762
43045.6,24243.9,66.0576,272.824,208.005,2.38597
57727.2,33585.6,77.8375,337.553,214.632,2.39351
60429.7,30912.2,45.1418,466.137,237.028,2.40956
55594.6,47463.1,73.8631,488.448,279.123,2.41416
122033,84253.1,83.742,830.216,481.814,2.42159
47540.4,25926,34.4241,378.686,139.714,2.43042
69157.5,52377.8,41.7245,377.572,263.59,2.43645
48900.7,36205.6,89.2835,291.905,214.703,2.43864
57806.8,39409.6,75.6469,340.172,283.775,2.44049
78153.1,33312.1,84.7084,382.894,283.493,2.44485
123558,72699.3,77.8884,437.796,443.191,2.45003
52294,25144.1,42.7601,376.209,208.932,2.45301
76244.1,40347.2,74.1689,495.299,239.299,2.458
41445.7,58536.1,69.8344,308.667,284.127,2.4734
68685.7,29747.4,25.6229,358.406,215.771,2.4792
95298.2,32851,39.8606,479.28,237.738,2.48874
40373.8,28725.2,49.9055,262.217,176.275,2.49708
59245.2,32791.7,37.1164,390.806,185.581,2.50747
54539.6,23817.5,63.5552,359.4,206.008,2.51204
60868.7,26550.6,76.2583,488.994,183.864,2.51354
44507.9,27930.1,40.2748,307.35,167.53,2.5199
42670.3,34256,35.5632,513.142,177.994,2.53197
49673.4,28637.7,74.8825,390.868,177.78,2.53289
71873.4,44961.7,73.4043,493.299,255.173,2.53358
129340,60457.6,238.286,866.81,792.479,2.53756
68479.7,50098.2,48.3004,430.197,281.449,2.54174
39936.2,24706.5,41.0514,442.081,149.862,2.54403
81411.9,36978.4,48.611,396.486,263.307,2.54459
27346.6,12010.9,57.1549,325.816,47.8628,2.54806
60270.2,38505.9,72.0277,487.538,272.985,2.54923
52608,28824.8,48.9217,465.65,184.15,2.55702
74355.2,37983.7,41.8799,492.269,237.241,2.56407
54780.6,31868.8,38.359,332.811,212.495,2.56661
49164,26619.4,45.1936,276.355,155.9,2.57527
77400.2,39302.5,46.281,332.312,188.085,2.58074
34101.9,28622.6,29.661,405.919,119.082,2.58089
40614.6,23985.8,43.3814,487.295,141.946,2.58193
47423.9,32676.8,40.9996,474.72,151.731,2.58443
74329.5,51299,73.4553,467.721,282.225,2.58493
107789,89212,122.851,902.347,472.797,2.58722
99434.1,55657.6,79.4161,550.925,327.666,2.62791
84405.1,56397.1,72.8945,426.209,371.812,2.64238
104976,54858.1,67.7422,752.494,367.711,2.6446
40895.1,28148.7,74.7806,513.021,154.463,2.67827
63877.9,51206.2,109.665,534.654,335.5,2.68337
56478.3,29292.3,57.6769,461.445,150.149,2.69369
72476.3,37898,48.5075,585.876,210.428,2.69401
74159.4,51139.7,55.5496,1251.2,281.167,2.70083
71638.9,28755.3,77.3281,474.72,245.256,2.70674
85591.6,31246.1,81.7577,411.953,233.052,2.73364
60063.7,38857.7,66.6192,339.985,198.374,2.73906
40599.1,36258.7,70.0385,389.015,210.571,2.74021
26042.7,29755,76.8187,278.939,187.942,2.74915
64512.8,30156.6,46.3845,295.362,176.49,2.75067
80717.8,38317.4,90.5536,345.779,304.74,2.75757
49209.5,34192.1,64.8321,563.619,198.088,2.76256
46192.4,52308.7,74.4238,387.717,229.713,2.76923
81095.1,39102.9,73.7102,426.148,260.055,2.80254
47627.4,26998.4,44.3134,367.78,168.463,2.80305
54497,43672.5,64.117,388.15,232.768,2.80773
90937,45962,60.8469,480.13,302.492,2.83766
103384,50980.4,69.4773,645.719,315.898,2.85418
48464.6,27906.7,38.1002,284.23,159.348,2.86168
55965.8,41417.1,129.506,583.434,251.703,2.86548
84490.1,36311,67.1808,505.951,279.193,2.88178
91129.1,50518,67.0787,389.015,272.985,2.88306
98728.9,53533.9,26.7618,509.457,356.086,2.89249
112898,69550.6,122.902,499.054,438.792,2.89492
