"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
50147.1,23627,1856.69,256.969,139.281,3.94443
66724.2,33717.7,78.9579,340.919,213.635,3.97014
60737.8,26917.5,51.4072,293.288,173.768,3.97442
54839.4,44180.3,55.1872,287.566,214.489,3.99835
57626,32253.8,93.1943,371.624,211.64,4.02844
87381.9,41042.1,91.1123,442.143,298.134,4.0425
89199.3,54602.1,88.0131,329.939,366.389,4.05167
63165,24456,77.4809,408.444,188.728,4.06368
71810.2,33620.6,160.736,336.742,260.125,4.07962
59128.6,31638.2,86.5898,457.053,214.632,4.112
52802.5,30083.8,86.5898,397.844,231.986,4.12442
48022.2,35269.4,99.1304,290.019,212.851,4.15129
106423,68776.4,159.134,614.732,443.328,4.16928
62409.9,29207.5,56.7924,231.359,210.713,4.17392
49984,20827.5,37.8931,281.522,129.478,4.18061
87047.5,39747.3,93.8034,317.373,253.19,4.19034
76079.2,38106.2,86.3864,528.517,248.303,4.19619
79588.2,55510.6,121.741,508.551,283,4.19628
72210.3,31504.5,76.4112,405.673,275.243,4.21289
40719.8,21446.6,87.7589,377.2,196.088,4.22408
53192.3,29209.5,68.0995,298.565,202.941,4.23209
46644.6,31968.4,67917.7,2508.79,190.515,4.23425
105506,55299.2,115.985,763.553,361.936,4.23455
82727.6,51466.6,80.7906,385.677,281.026,4.23809
81332.5,46877.3,94.2095,472.713,269.454,4.24317
59192,28474.1,248.359,507.04,182.934,4.24738
75264.2,46082.4,92.3311,371.19,324.096,4.25405
81067,58778.1,56.6888,291.968,347.022,4.27987
34639.5,29815.9,83.335,299.696,213.136,4.2947
46878,29368.6,56.2228,194.777,180.071,4.31714
69044.2,27451.5,64.066,362.567,245.823,4.32156
100599,41092.3,65.1896,216.855,290.044,4.34704
53542.2,28494.7,68.4567,389.88,179.928,4.35644
41048.7,36293,55.7568,177.554,216.127,4.36212
83314.5,59340.1,134.944,435.959,354.762,4.37854
69836.8,35130.2,52.7534,345.717,202.941,4.40372
74570.3,35182.6,65.5981,320.877,235.466,4.4228
126826,60293.7,131.923,538.441,407.086,4.42868
89805.7,31528.9,90.6044,353.184,249.649,4.47778
58698.4,41102.2,37.5824,246.206,213.991,4.54352
69346,46703.7,129.405,361.76,290.818,4.58785
39966.4,24154.3,60.9491,304.528,145.401,4.59369
43416.1,23209.1,73.1494,380.419,193.946,4.59631
77541.2,53139.6,112.245,569.894,272.702,4.62411
108040,43686.1,88.3688,561.106,324.726,4.6776
86867.6,44885.8,70.1915,496.389,265.852,4.68184
66301.2,32553.3,87.8606,407.213,230.85,4.68734
62522.9,31005.3,77.8375,358.22,186.654,4.6967
116613,76542.4,75.8507,405.734,470.472,4.69884
75361.9,44211.8,113.458,305.281,321.014,4.70334
68333.2,40897.5,63.4019,378.067,244.334,4.7079
50222,25791.5,16.1493,270.742,165.235,4.72944
104510,41337.6,117.652,566.667,414.683,4.73107
70145.7,39383.9,128.297,493.966,223.884,4.73295
98637.4,49333.3,79.7216,451.13,292.648,4.73355
70834,42058.4,71.5177,551.764,334.311,4.77896
77641.2,53369.8,93.4481,715.466,376.119,4.82053
47411.8,32826.9,88.5721,340.919,202.156,4.82838
33525.8,35286.3,47.2648,202.635,165.306,4.87714
29011.1,57872,65.1385,148.309,733.886,4.93538
72559,37453.9,64.7299,217.683,271.431,4.94711
101553,42293.5,78.3468,567.683,273.055,4.9574
80477.8,42056,89.7408,553.023,296.869,4.95896
102410,56860.9,440.662,604.894,382.852,4.96206
90698.8,54992.3,85.2678,404.502,317.44,4.99995
74093.9,47127.9,60.438,507.04,327.106,5.05019
113645,52638.7,101.412,532.368,451.086,5.07208
90596.5,45000.7,88.9786,459.554,337.806,5.08101
85053.6,49422.1,118.662,507.221,288.706,5.08171
88179.3,41196.1,82.521,572.939,312.602,5.10115
64758.3,31775.8,74.016,420.929,253.828,5.1235
44831.1,32914.4,62.2779,188.508,182.576,5.13751
71431.6,29873.3,96.9496,271.247,270.655,5.17026
59538.6,30169.3,85.6238,535.917,276.09,5.23314
104117,59061.8,74.3728,345.841,290.677,5.27532
89211.5,36589.2,87.4031,427.253,269.384,5.31843
100025,44328.6,89.8424,503.956,385.696,5.35543
78491.3,57505.8,164.588,784.739,396.989,5.36589
66590.3,46697.5,88.5213,321.44,272.773,5.43908
100009,41485.6,105.869,402.9,299.611,5.45339
92366.4,32889.4,69.3752,326.191,273.69,5.46649
65406.7,38288.3,66.3129,384.873,229.287,5.47758
84712.1,38525.3,36.3916,190.876,240.647,5.49968
48970,30540.8,35.9256,396.918,149.071,5.50625
62132.9,31034.1,86.2848,436.265,229.855,5.52919
90412,58769.6,122.296,590.042,335.709,5.53031
45555.8,26678.6,77.5319,298.251,196.16,5.53592
59235.7,29806.1,2792.14,322.565,208.789,5.56656
106884,48717.5,106.021,578.785,360.404,5.57176
92555.3,39231.8,312.719,355.112,278.629,5.57821
105734,37556.8,63.9638,478.794,283.493,5.5888
87118.3,57047.6,104.046,251.907,319.823,5.60959
44336.8,27127.9,74.6277,353.184,166.239,5.63309
54777.4,36489.1,56.5335,337.428,204.582,5.63755
108422,70777.7,109.817,373.236,444.839,5.65803
89840.5,52487.9,81.5032,380.048,306.145,5.66624
54281.2,33944.8,99.7895,341.293,219.544,5.75118
90173.4,78429.2,128.901,453.329,422.339,5.76198
42204.8,22946.3,92.8389,315.62,153.385,5.80015
27943.8,37960.5,117.904,327.566,157.984,5.80176
95506.9,57191.7,72.6905,337.303,326.896,5.80391
121621,48083,121.136,605.013,368.754,5.81536
44987.2,35702.4,104.603,316.246,194.446,5.86862
48831.8,30170.5,78.194,394.388,153.169,5.87734
96204.9,35897.9,88.3688,388.211,310.427,5.89087
63077.8,42751.6,47.679,286.307,236.957,5.91195
90663,41786.7,75.2392,345.592,303.686,5.91512
119806,51991.4,104.958,595.929,378.064,5.91904
123751,58827.2,109.766,460.103,419.581,5.9288
55599.8,32754.8,67.5891,320.564,232.271,5.94284
63588.7,28040.6,66.6703,429.339,230.708,5.95306
98087.6,66929.3,104.198,899.924,454.584,5.9615
83686.3,38531.8,111.688,407.089,284.057,5.9659
121044,50831.5,100.398,615.856,384.032,6.00848
59244.8,33469.7,56.5335,245.382,214.774,6.00879
53326.7,31346.7,94.4633,473.26,205.081,6.01201
78277.1,40416,92.5342,463.7,225.448,6.05866
87369.1,49147.2,128.246,711.987,356.922,6.06154
84157.3,41518.9,49.2324,246.65,290.959,6.09847
82114.3,41708.2,75.2392,373.36,264.155,6.11208
91139.6,65737,127.44,523.216,348.697,6.12536
71943.1,50304.5,74.5767,424.675,283.141,6.14401
98104.8,41817.2,52.4945,431.178,270.655,6.14655
132168,81988.5,1180.19,571.088,551.043,6.15318
49606.4,28071.5,48.1968,379.429,202.228,6.20413
59512.8,37592.5,78.7032,370.943,293.211,6.21498
55614.5,34489.5,64.9342,514.168,183.006,6.24392
122020,73011.8,78.7032,557.096,415.856,6.26885
86011.1,44026.1,158.033,734.726,336.478,6.36993
91859.8,35502.7,786.244,612.422,318.071,6.39274
121269,55521.8,110.829,679.263,376.675,6.40865
95330.5,55164.3,106.528,439.327,291.944,6.4157
82861.9,37614.7,70.3956,501.051,243.058,6.43093
110556,46833.9,70.9057,397.227,363.815,6.46747
78311,23730,94.2095,311.361,232.697,6.47209
113179,42161.6,46.4881,429.707,270.372,6.49989
91825.2,51504,100.905,345.654,288.002,6.52365
73195.6,27466.3,43.2778,234.344,224.097,6.55494
51372.6,27717.1,65.7002,273.203,205.367,6.56668
72769.8,43926.3,36.7022,373.112,226.515,6.57701
43832.7,27763,497.249,476.788,164.445,6.57978
73198,39721,669.379,512.961,274.89,6.58766
62020.2,43686.8,95.9349,415.336,216.341,6.59522
82629.4,37107.1,89.4867,433.937,315.407,6.60345
62859.9,34683.4,82.8262,597.236,231.063,6.62516
55720.9,30932.2,96.3916,467.234,209.003,6.62621
47695.3,23695.2,52.4945,227.355,136.111,6.6306
68809.7,59634.9,112.042,381.904,356.783,6.63287
84369.9,60666.7,78.856,451.863,323.466,6.64266
77065,42834.4,53.323,340.67,221.11,6.65739
85176.8,48053.8,105.059,412.999,293.844,6.66714
84847.6,35537.6,75.5959,436.816,233.62,6.70033
105108,40319.9,97.6598,602.699,286.1,6.74143
110454,53047.6,93.1943,432.037,374.452,6.74417
46091.8,31753,109.362,402.16,244.051,6.75012
60130.4,45454.7,112.498,836.616,293.422,6.7586
75572.7,44806.4,424.448,198.867,276.442,6.77382
61562.2,23930.7,51.4589,218.384,139.498,6.77525
117239,60425.3,139.319,616.862,429.642,6.87094
94607.8,66396.3,87.7589,543.066,354.553,6.88154
120176,64793.6,104.907,620.057,412.75,6.88979
73880.8,31457,46.1774,312.364,204.011,6.91175
92995.2,41038.1,78.7542,404.564,291.029,6.93854
79549.2,42706.2,85.2169,442.387,258.074,6.95759
72783.4,40770.9,37.1682,408.937,233.975,6.97495
35716.7,38313.7,82.5718,285.552,262.53,6.98262
45764.5,52304.7,87.1998,307.914,250.287,6.99197
58686.1,30951.6,54.6176,329.939,188.371,6.99418
103020,51515.8,2967.9,647.425,346.185,7.00005
100832,47790,97.0511,304.528,376.536,7.03431
98576.1,41984.9,81.605,401.051,263.59,7.0399
94706,67474.7,150.165,404.995,382.783,7.0701
49704.7,47719.1,90.452,407.151,270.514,7.07442
94333.4,46562.2,72.6396,523.216,288.143,7.09949
49200.3,22686.3,73.9141,218.511,201.015,7.10082
69826.7,25530.7,68.5078,326.254,251.349,7.10522
63315.8,39766.9,121.691,323.378,222.248,7.1167
55506.9,21703.5,69.1712,412.199,173.338,7.12617
92913.5,66682.5,164.738,656.475,371.743,7.13182
113818,50595.8,65.496,366.105,303.757,7.14538
47608.3,28468.7,66.0576,273.707,173.553,7.17488
75486,62216.1,106.73,386.79,335.43,7.21017
52617,59008.5,301.097,334.122,394.842,7.21708
61872.2,34746.7,83.6402,273.518,204.725,7.23005
87196.7,51727.5,86.6915,512.719,313.514,7.2543
130906,86807,171.632,855.689,506,7.25775
61760.1,44538.2,101.969,511.27,275.596,7.2683
60700.5,34369.3,106.882,430.443,306.215,7.27887
46527.2,27553.2,85.5729,357.474,176.92,7.287
77539,29553.8,82.8262,492.147,260.832,7.32248
76693.7,31429,81.1469,298.314,229.429,7.36017
91971,34110.5,46.747,273.203,245.327,7.37002
73249.8,30510.7,56.896,507.765,214.418,7.37139
58462.5,27516,69.9364,431.975,262.954,7.37309
