"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
74332.9,35701.1,40.1194,307.162,232.2,4.94615
39786.3,19667.9,9109.52,455.039,194.517,4.947
89489.6,48386,599.133,549.366,339.832,4.95741
91624.9,45320.1,111.891,364.057,283.916,4.96359
31067.5,24804.9,51.9767,235.487,143.458,4.97591
18824.4,20606.4,224.738,377.819,197.445,4.97953
121417,84745.9,198.511,650.248,483.657,4.98409
55694.4,27246.4,108.856,300.826,173.123,5.00083
89135.7,41343.6,116.339,515.919,282.366,5.0499
58119.5,30862.4,37418.5,424.614,214.988,5.09414
103752,58778.5,395.194,550.985,314.495,5.09636
47415.3,36139.2,439.958,268.47,173.911,5.11428
111988,75974.9,2252.54,576.698,411.714,5.13029
81041.6,41421.8,252106,3583.48,438.723,5.13574
58215.8,25227.9,108.755,332.187,167.745,5.13855
111614,55610.6,1182.68,478.854,403.63,5.15104
57850.5,74642.5,142807,12506.6,1184.36,5.15309
103027,50367.3,1221.41,447.036,369.518,5.15628
32056.1,47888,595.285,537.239,288.847,5.15742
34925.5,24240.9,708.837,275.599,125.148,5.1606
65473.4,36462.8,81982.4,2249.41,214.988,5.16139
54607.5,34438.3,48616.6,2516.06,229.287,5.17352
105455,39268.8,22971.3,364.554,255.031,5.25681
63158.9,33988.9,224.293,291.151,234.827,5.27835
65872,38204.9,230.753,414.044,262.105,5.28629
85458.7,42531.3,253.95,389.633,282.295,5.31925
60716.3,36931.2,483.491,999.267,276.16,5.33064
77064,39779.1,469.545,427.56,275.807,5.3349
29407.8,22661.2,128355,2907.34,149.358,5.34113
55190.1,34452.9,3562.16,366.105,285.959,5.35508
77103.5,33939,252.038,357.971,233.762,5.36471
94884.7,55503.6,6473.85,764.112,279.334,5.39883
76752.8,43153.7,598.403,415.889,306.566,5.4064
87247.3,48153.5,265.112,334.059,358.524,5.42962
25287.1,31587.6,179966,6663.91,200.087,5.43149
96837.2,56320.7,3386.5,637.18,346.674,5.43466
72521.3,41222,2139.28,392.906,234.117,5.45715
47964.8,29512.6,117.197,374.661,164.015,5.45978
70707.8,35753.2,138.012,323.816,238.589,5.46656
77039.6,59869.1,126374,7182.25,339.203,5.46975
63734.1,65351.2,253.117,408.752,382.02,5.4937
103551,87286.4,111.233,2628.39,454.721,5.49782
63562.9,27221.6,365.255,341.293,199.659,5.50028
30775.8,21874.2,72.8945,4950.73,311.339,5.50405
77525.9,35997.5,55.2389,456.198,274.89,5.5055
57421.3,62289.9,285098,7845.46,324.306,5.51069
62169.1,26541.8,595.918,637.946,258.498,5.5205
84446.1,35884.3,243.89,399.447,301.508,5.53304
76697.7,41029.3,89.8424,335.058,267.265,5.54102
46667.6,27433.3,136.252,192.858,184.007,5.54891
39370.4,20628.6,2677.76,287.188,143.314,5.55438
63699.5,27003.2,3039.7,952.112,231.347,5.57444
110144,67791.5,1100.4,484.139,430.399,5.57963
51809.6,22642.8,300.709,334.995,153.385,5.59292
76491.8,30981.5,153.174,326.379,189.515,5.61649
40435.7,20595.8,256.939,273.455,132.002,5.61917
72824.6,50694.2,1076.48,361.325,309.444,5.62225
62691.5,33181.1,588.611,395.622,260.974,5.6241
67810.4,34398.9,1900.43,720.871,269.454,5.6296
44425.2,28266.7,294.157,310.609,155.541,5.6331
85664.9,32247.3,23582.9,3581.74,4308.61,5.63848
68095,31858.3,3450.61,257.033,237.525,5.64434
75462.5,47908.5,7260.63,2233.87,297.712,5.64508
49343.7,23035.8,345.384,336.617,192.302,5.66166
64069.3,86683.7,60624.1,3320.99,537.87,5.68502
48108.7,40716.3,695.538,492.693,201.3,5.69126
43525.8,26427.4,65018.2,5647.19,140.362,5.70486
64134.4,42257,17777,4166.99,217.409,5.70879
