"FSC-A","SSC-A","Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
73123.976562,43005.683594,53.296135,3893.838623,251.100433,282.820068,44.322746
69551.640625,48869.796875,26.981361,3612.298340,143.858932,319.400208,44.323895
52364.554688,42270.363281,53.038025,2892.753174,201.089859,262.800568,44.324574
70165.437500,62273.636719,18.629438,4517.391602,221.116425,306.864685,44.325768
46799.539062,28720.593750,15.296718,3007.384766,101.949478,205.111649,44.327084
60483.207031,32559.955078,90.424347,2614.613037,200.956116,244.737244,44.329090
66960.703125,35039.531250,16.960457,2999.734619,127.575005,224.911667,44.329353
50951.300781,31721.076172,36.531101,2824.933350,62.536438,141.406921,44.330566
72422.054688,74309.710938,69.214561,3204.104736,136.161392,272.128571,44.330891
65271.023438,36135.300781,22.595907,3039.382324,233.766235,230.991058,44.331135
63510.867188,27551.484375,8.666737,2001.017212,110.367142,139.806961,44.331444
76467.390625,43873.226562,18.697464,4156.678223,298.334137,340.541718,44.331749
73762.343750,65471.292969,112.332558,4269.852539,264.482330,482.094330,44.332535
61963.769531,34352.636719,54.450615,2360.455811,114.978554,243.498032,44.333179
84797.171875,52934.523438,29.847172,3786.310303,263.621979,418.009979,44.333328
67392.945312,51454.644531,97.907120,2711.090820,198.882950,234.113541,44.335323
66851.375000,59890.121094,59.786171,3993.109131,236.625458,324.315338,44.336044
62278.812500,40375.375000,1.429405,3376.295166,150.266373,166.816406,44.336185
58878.339844,51862.511719,25.348288,2455.597900,131.159729,231.434799,44.336422
87461.085938,49974.136719,102.191254,4099.240723,308.459076,340.461700,44.339462
56037.949219,43288.589844,41.731758,2735.377197,141.766678,292.141022,44.340542
70042.406250,46193.839844,50.033253,2526.392578,167.432907,169.250763,44.341496
78639.445312,52737.949219,38.566006,2839.262207,154.848709,297.499176,44.343430
40221.203125,43535.914062,30.556026,3095.119629,139.268555,308.871521,44.343796
39865.132812,31638.339844,78.777199,2287.960938,48.867279,203.668274,44.345055
67788.515625,49447.867188,48.146168,3974.469238,220.050003,240.626266,44.345100
50609.726562,35979.902344,87.873558,2195.733398,213.914383,148.214996,44.345974
60271.601562,32103.919922,43.055424,3032.460449,182.339569,260.629639,44.346901
80934.179688,63060.191406,92.177795,3771.252930,252.095139,297.136078,44.347408
48568.816406,47760.015625,61.037418,3264.395752,251.100433,240.257401,44.348106
