"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
17.3641,825.257,274.779,23455.7
27.768,137.4,-52.3164,1296.05
35.9653,590.628,-27.7657,88451.6
-70.66,159.474,-57.9384,320.832
25.2249,121.243,86.182,422.261
17.0496,642.368,-71.0554,223.063
6.57123,333.871,66.8761,8371.94
18.5477,558.651,-98.8384,169057
-6.23569,645.934,-64.9938,12810.6
80.6913,374.977,176.263,5789.97
24.4106,240.934,72.7133,232.797
42.9047,514.568,-46.5376,33089.8
16.579,570.961,63.3892,263.175
95.3081,678.893,6.28677,83100.6
9.28488,151.649,-15.4058,300.835
29.9919,714.839,120.038,38305.3
19.0485,287.599,23.7328,64459.2
22.4691,135.967,126.525,332.885
12.9096,637.61,8.10072,9025.25
40.9538,91.3675,54.54,287.444
-3.67469,751.805,61.5,27968.1
17.6782,1062.84,-108.496,14170.7
44.1999,180.907,-68.839,358.908
-33.8609,440.823,1047.18,87660.5
29.1323,606.91,51.2006,39345.8
45.2319,84.1422,12.4457,256.418
8.77279,73.7599,155.075,278.632
10.2926,285.354,-19.1252,3663.81
47.4417,72.5632,162.874,260.443
3.00206,557.96,78.4167,56583.7
45.6068,595.719,110.953,87683.8
-70.4941,425.355,-26.4556,54110.3
24.0636,517.589,326.023,15544.3
7.51236,551.273,-42.3973,42865
32.5365,570.329,-52.9459,401.041
18.6132,83.5135,1.93035,219.72
28.5011,61.733,-103.732,228.643
24.0081,345.227,-76.9442,6170.99
46.5365,480.052,317.191,18193.8
-97.5193,520.143,-18.3657,150011
11.2953,841.4,53.1264,63024.3
1.81733,118.931,-31.0319,248.302
73.3901,761.467,-22.7849,46247.2
-28.652,587.251,53.8536,52652
52.8431,798.013,-49.6447,56705.1
43.6999,822.017,-14.0356,19068.8
92.3446,726.121,164.121,71501.7
-5.44167,836.119,250.495,13757.7
16.7976,668.904,40.5259,23355.8
26.9719,136.217,111.422,672.42
29.6754,129.608,18.1683,262.488
115.712,922.054,167.982,68699.1
30.03,13.9,77.4299,204.823
21.5994,1058.64,119.759,11922.9
20.077,559.4,-34.9715,26317.8
29.211,568.318,38.5896,118613
-20.3727,17.726,-14.1251,190.659
47.6147,1062.6,81.9435,472.516
24.9987,533.359,-60.1443,356.111
14.1804,110.55,-131.001,9110.98
52.2862,70.6633,163.798,385.623
46.8025,917.373,175.708,46683.3
32.7419,634.436,-61.2042,42678.6
53.5375,680.753,-32.2384,33052.9
70.6208,219.113,45.3217,440.403
12.3857,344.747,-57.3174,65892.4
-16.9903,774.069,122.49,59077.7
74.6998,1019.03,7006.7,163493
11.2123,101.28,13.9711,257.054
104.594,897.81,69.0409,79486.2
-20.1751,790.332,50.8412,59758.5
20.0924,222.735,-169.934,46448.5
-22.25,705.417,72.7212,44543.3
33.2049,637.27,195.878,20957
-5.34227,793.512,39.2521,30417.2
0.269015,30.7991,-159.756,3931.54
14.3478,-1.8003,-60.643,145.985
34.863,173.854,189.195,544.234
39.5116,92.121,-49.9795,392.904
34.945,1003.73,517.476,7990.73
35.8404,132.664,174.087,350.428
33.8646,923.374,-116.017,9562.65
12.68,710.158,163.999,5851.96
28.8575,649.61,-84.7648,249.904
52.7859,602.745,12.2711,47125.2
40.5702,1515.43,242.885,7842.15
25.2283,646.104,-33.3101,239.307
52.0591,621.602,242.271,10054.9
31.9497,891.809,-22.5424,17341.2
-1.19881,671.774,6.37336,12328.4
116.879,661.41,158.413,142996
46.814,238.609,85.9194,24241.6
15.6946,1005.29,7.07067,35085.3
21.7557,509.22,-26.1032,21850.7
9.68059,790.872,-72.7472,76655.1
5.2418,47.2539,71.5687,311.969
28.5609,1005.95,148.7,62056.5
-7.34925,765.788,47.778,48336.3
-4.29433,866.604,151.49,57923.2
102.244,310.663,-99.7848,216735
43.7682,140.328,-66.0529,266.888
36.4309,98.3332,-17.2713,290.902
22.6992,108.735,-73.4569,209.951
-1.71861,372.768,1033.02,5205.33
33.8509,1052.16,261,31137.2
