"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
87976.8,79754.3,767.56,2.19054
75087.2,52759.5,128.96,2.1926
76754.4,95179.9,35.96,2.19363
93850.4,103676,145.08,2.19671
97115.2,78286.2,94.24,2.20083
79257.6,106556,344.72,2.20392
85602.4,65428.6,114.08,2.20597
84118.4,71141.3,147.56,2.20803
87944,63768.2,85.56,2.20906
83244,97622.7,133.92,2.20906
81652.8,88512.4,70.68,2.21112
59400.8,58138.6,-13.64,2.21112
98188,106532,93,2.21318
74004.8,65785.7,54.56,2.21626
59903.2,40778.6,23.56,2.21626
104506,133984,288.92,2.21832
75056.8,72858.7,40.92,2.21935
93780.8,86372.2,155,2.22038
81417.6,98839.2,78.12,2.22347
74450.4,58896.3,84.32,2.22758
67596.8,63711.2,125.24,2.23684
78265.6,93896.5,143.84,2.24199
85246.4,73998.2,145.08,2.25022
77539.2,116560,162.44,2.25228
84666.4,63266,76.88,2.2533
75591.2,44734.2,-66.96,2.25536
78032,52421,73.16,2.25948
101421,131659,215.76,2.26154
78463.2,59156.7,121.52,2.2924
91518.4,74582.3,110.36,2.29446
64892.8,68616.6,105.4,2.29755
81109.6,86194.9,55.8,2.2996
84848,53714.3,-1.24,2.30166
106750,103418,115.32,2.30269
85479.2,86534.6,48.36,2.30578
85764,57140.4,95.48,2.30681
65016,45433.6,50.84,2.30681
91265.6,86207.3,186,2.30784
80010.4,109446,167.4,2.30784
92578.4,89291.2,96.72,2.30887
71028.8,52345.4,2501.08,2.30989
91406.4,123335,117.8,2.31092
103943,83271,74.4,2.31298
97067.2,136812,212.04,2.31401
76745.6,45865.1,86.8,2.31504
104657,119902,138.88,2.31607
102112,81288.2,73.16,2.3171
96892.8,86158.9,130.2,2.31813
62618.4,55845.9,-24.8,2.31915
112914,103888,145.08,2.32018
98058.4,100994,174.84,2.32224
73008.8,59424.5,94.24,2.32533
59662.4,39203.8,28.52,2.32636
72784,85716.2,79.36,2.32841
75279.2,56442.3,131.44,2.32841
78420,109408,7859.12,2.33047
79224.8,114855,44.64,2.3315
71518.4,47798.3,639.84,2.33356
87973.6,75476.3,104.16,2.33459
99804,100839,219.48,2.33562
85586.4,73579.1,2047.24,2.33665
74241.6,49667,28.52,2.3387
90421.6,141432,83.08,2.34282
66196,72727.2,104.16,2.34385
76124,50640.4,45.88,2.34488
83708,73718,69.44,2.34591
79539.2,66865.8,22.32,2.34796
73240.8,54143.4,23.56,2.34796
112438,114519,104.16,2.34899
90384.8,147308,43.4,2.38089
108922,88599.2,85.56,2.38295
74860,64597.8,91.76,2.38398
89475.2,84744.1,58.28,2.38603
81400.8,97105.6,46173.9,2.38706
65554.4,61186.6,53.32,2.38706
66889.6,79424.5,63.24,2.39015
70655.2,53227,52.08,2.39221
72252,54738.6,22.32,2.39324
94336,69952.1,48.36,2.39324
93540.8,79708.4,54.56,2.39426
82420,66209.8,128.96,2.39838
80929.6,61729.7,172.36,2.40147
91108.8,82378.2,179.8,2.40352
62324.8,54799.3,53.32,2.40455
85167.2,91457.4,133.92,2.40661
77642.4,54939.4,135.16,2.40867
93112,95517.2,91.76,2.40867
72505.6,66242,111.6,2.4097
82422.4,77012.7,74.4,2.41073
67591.2,60779.8,269.08,2.41073
92709.6,68129.3,111.6,2.41176
84476.8,109351,167.4,2.41484
78727.2,102484,120.28,2.41484
82441.6,116781,324.88,2.4169
83138.4,110796,63.24,2.4169
75251.2,58453.6,57.04,2.41793
96816,73988.3,133.92,2.41896
82957.6,115043,100.44,2.41999
95901.6,124764,12.4,2.41999
75089.6,76880,130.2,2.42204
97361.6,105968,60.76,2.42307
74268.8,53271.6,44.64,2.51259
71462.4,91844.3,102.92,2.51362
100368,90889.5,190.96,2.51568
76391.2,89638.4,21.08,2.51773
75173.6,55020,102.92,2.51979
93099.2,57950.2,54.56,2.52699
77088.8,86405.7,106.64,2.52905
79628,49565.3,-16.12,2.53625
76337.6,49016,111.6,2.54654
91636,74316.9,229.4,2.55066
89308,102398,131.44,2.55169
65426.4,54863.8,57.04,2.55477
99787.2,94793,59.52,2.55889
110401,96167,55.8,2.56095
75875.2,78488.3,38.44,2.563
100576,116555,96.72,2.56403
75063.2,67886.3,1615.72,2.56609
81900.8,72920.7,223.2,2.56712
96577.6,132459,110.36,2.56918
101249,72724.8,104.16,2.57021
92831.2,79896.9,55.8,2.57124
110536,125933,104.16,2.57329
95821.6,65997.8,88.04,2.57535
83188,75235.8,79.36,2.57638
115022,96149.6,127.72,2.57741
96108,95692,59.52,2.57947
89364.8,83652.9,112.84,2.58255
90783.2,96268.6,162.44,2.58358
88641.6,89794.6,5023.24,2.58461
58243.2,49498.3,109.12,2.58461
81687.2,58627.2,105.4,2.5877
70176,94059,22.32,2.58873
100620,67815.6,40.92,2.58976
90961.6,91515.7,141.36,2.59181
63137.6,35712,159.96,2.59387
67405.6,42533.2,145.08,2.5949
59288.8,70220,35.96,2.59593
105965,92398.6,84.32,2.59696
84529.6,78694.1,70.68,2.59799
72086.4,69299.9,9.92,2.60005
91303.2,82603.8,124,2.60313
68624,48559.6,88.04,2.6412
68464,90408.4,168.64,2.64326
93332,85733.6,55.8,2.64532
67303.2,60002.4,155,2.64635
71528.8,49804.6,22.32,2.64635
84852,60714.1,121.52,2.6484
56812.8,56638.2,56526.6,2.6484
77666.4,107183,212.04,2.64943
99290.4,65873.8,63.24,2.64943
68118.4,72499.1,14.88,2.65149
99247.2,80664.5,114.08,2.65458
64480.8,74318.2,6.2,2.65869
79332.8,88400.8,128.96,2.65869
96770.4,112521,141.36,2.66075
92472,83538.8,13.64,2.6659
68274.4,46168.9,1.24,2.66692
89782.4,65178.1,60.76,2.67207
73186.4,51370.7,42.16,2.67721
74236.8,38778.5,73.16,2.67927
78816.8,60922.4,-2.48,2.68442
80432,73489.8,105.4,2.68647
80700.8,74227.6,94.24,2.6875
91255.2,66327.6,374.48,2.69059
71087.2,74190.4,120.28,2.69059
66735.2,62285.2,65.72,2.69265
82164.8,54059,54.56,2.69573
61535.2,48521.2,182.28,2.69882
88005.6,55010.1,70.68,2.70294
79677.6,93355.9,71.92,2.70397
85768.8,90485.3,151.28,2.70705
76312.8,73612.6,24.8,2.70705
95476,79853.5,110.36,2.71014
99071.2,84630,193.44,2.71014
68221.6,57028.8,89.28,2.71117
68260.8,37302.9,52.08,2.7266
71958.4,49915,68.2,2.72866
64206.4,58661.9,37.2,2.73277
70204,63397.5,29.76,2.73586
103927,89075.4,80.6,2.73792
86897.6,66595.4,80.6,2.73792
71077.6,67234,24.8,2.73998
83351.2,61386.2,245.52,2.74101
90744,127574,205.84,2.74203
89283.2,81187.8,52.08,2.74615
69205.6,76548.9,83.08,2.74718
112113,94536.4,112.84,2.74924
86552.8,83588.4,89.28,2.75232
86960.8,74722.4,70.68,2.75232
95837.6,88648.8,125.24,2.75335
108502,111989,131.44,2.75541
79055.2,98780.9,45.88,2.75747
107335,84845.8,110.36,2.76364
73410.4,63258.6,122.76,2.76467
97479.2,105030,151.28,2.7657
83428.8,95312.6,3.72,2.76776
92270.4,54107.4,106.64,2.76981
69610.4,61428.4,16.12,2.77187
68302.4,51012.4,140.12,2.7729
93023.2,113476,116.56,2.77393
106236,119359,179.8,2.77496
66795.2,77128,220.72,2.77908
76468,74272.3,100.44,2.7801
79361.6,68496.4,208.32,2.78216
92685.6,77997.2,127.72,2.78216
64872.8,51868,127.72,2.78422
67538.4,57239.6,155,2.78422
85385.6,79418.3,95.48,2.78525
93078.4,124350,133.92,2.78731
99804,141074,581.56,2.78834
90272.8,84408,117.8,2.85419
83213.6,75308.9,16.12,2.85521
94236.8,85131,106.64,2.85624
87266.4,52650.4,66.96,2.85933
86310.4,95854.5,106.64,2.86139
65328,61506.5,33.48,2.86242
86616.8,85104.9,156.24,2.86447
73321.6,51469.9,326.12,2.8655
84689.6,87571.3,83.08,2.86756
92621.6,99611.7,122.76,2.86962
87950.4,79365,120.28,2.86962
76797.6,113086,162.44,2.87065
66392,77600.4,100.44,2.87271
89500,91946,50.84,2.87271
85951.2,73623.8,94.24,2.87373
81204.8,129461,181.04,2.87476
67706.4,47898.7,78.12,2.87888
90537.6,67296,90.52,2.88094
72892.8,47168.4,29.76,2.88197
67256,50042.7,358.36,2.88608
60717.6,51029.7,43.4,2.88711
58072,46519.8,50.84,2.8902
80704.8,64023.7,86.8,2.89225
89655.2,80592.6,100.44,2.89225
90164,121644,128.96,2.89328
78107.2,80172.2,95.48,2.8974
84861.6,56184.4,93,2.89946
87644.8,98650.7,260.4,2.90254
108996,104613,40.92,2.9046
78254.4,65655.5,70.68,2.90666
102430,97762.8,80.6,2.90872
89849.6,72372.6,147.56,2.90975
88550.4,123825,50.84,2.91078
98763.2,148210,195.92,2.91386
79555.2,82062,23.56,2.91798
72920.8,53367.1,69.44,2.92004
69812,72607,150.04,2.92106
76552,92412.2,70.68,2.92209
74119.2,69890.1,138.88,2.92209
64530.4,52139.5,57.04,2.92312
87375.2,107734,102.92,2.92518
89299.2,95091.9,163.68,2.92621
73180,74117.3,75.64,2.92724
79868.8,111512,102.92,2.92827
64796.8,75959.9,47.12,2.92827
87647.2,141908,375.72,2.93032
88571.2,68126.8,84.32,2.93135
69462.4,77947.6,16.12,2.93238
104663,98039.4,74.4,2.93341
95066.4,96660.5,48.36,2.93444
70983.2,57932.8,55.8,2.9365
89268.8,116465,53.32,2.9365
67174.4,66792.6,79.36,2.9365
62821.6,42494.8,13.64,2.93753
75586.4,99028.9,114.08,2.93753
66364.8,61072.5,42.16,2.93753
75017.6,84953.6,152.52,2.93856
87414.4,94418.6,47.12,2.93856
77760.8,72390,69.44,2.93958
81360.8,70227.4,63.24,2.94061
80592.8,109571,152.52,2.94061
89480.8,137687,15961.3,2.94164
65072.8,65578.6,49.6,2.94164
89380,89810.7,27.28,2.9437
108234,124764,290.16,2.94473
85240.8,63941.8,78.12,2.94576
90277.6,68126.8,181.04,2.94576
82280,76914.7,250.48,2.94679
