"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
100254,110245,91.76,3.30783
73200.8,87301,0,3.31287
88053.6,94031.7,124,3.31488
90096,120806,65.72,3.31589
74717.6,75931.4,68.2,3.31689
81385.6,72340.4,76.88,3.3179
61132.8,63698.8,35.96,3.32092
97272.8,105999,90.52,3.32294
78988.8,70921.8,97.96,3.35919
91773.6,82257.9,110.36,3.3612
84810.4,89009.7,13.64,3.36523
87693.6,125721,106.64,3.36623
104526,86475.1,66.96,3.37832
73703.2,41381.3,136.4,3.38134
77623.2,64176.2,70.68,3.38335
84100,90257.1,68.2,3.38537
88140,70260.9,85.56,3.38839
65656.8,78888.8,70.68,3.38939
74299.2,49562.8,34.72,3.38939
91765.6,140987,128.96,3.39141
94672.8,98864,158.72,3.39242
100820,112535,142.6,3.39443
79364,63278.4,133.92,3.39745
80216,97906.7,153.76,3.39946
69484.8,61128.3,47.12,3.40148
73112,90471.6,104.16,3.40349
77691.2,89041.9,21.08,3.4045
85192.8,82958.5,53.32,3.40551
68508.8,64752.8,80.6,3.40651
66736,74690.2,81.84,3.40752
90134.4,106161,171.12,3.40853
85439.2,84599,126.48,3.40953
85268.8,114758,53.32,3.41155
81512,77601.7,47.12,3.41255
76586.4,87723.8,68.2,3.41255
71066.4,46724.4,99.2,3.41356
73194.4,64620.1,81.84,3.41356
88601.6,109507,16.12,3.41457
92584,142212,212.04,3.41457
66511.2,42786.2,54.56,3.41558
81708,71373.2,109.12,3.41658
91120.8,72368.9,14.88,3.41759
65290.4,46204.9,52.08,3.41759
64388.8,55229.6,117.8,3.41759
74945.6,48019,48.36,3.4186
87438.4,58232.9,44.64,3.4186
68681.6,94212.7,128.96,3.4196
106995,118601,94.24,3.4196
84140.8,54206.6,112.84,3.42162
91283.2,118238,39.68,3.42766
69068.8,64937.6,34.72,3.43169
75573.6,71047,73.16,3.43571
77065.6,66279.2,75.64,3.43974
79416,62014.9,35.96,3.44075
71492.8,54702.6,44.64,3.44075
86040,113456,104.16,3.44276
64340,66125.5,112.84,3.44377
80733.6,74174.3,33.48,3.44478
81325.6,82839.4,-48.36,3.45283
71360,72943,0,3.48103
80425.6,73302.6,83.08,3.48405
87100,91774.9,172.36,3.48606
89895.2,67250.2,49.6,3.48707
83372,77010.2,71.92,3.48908
71342.4,72015.5,21.08,3.49009
97597.6,94486.8,64.48,3.4921
100939,138977,127.72,3.49412
89167.2,79057.4,71.92,3.49915
