"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
81662.4,65059.1,95.48,2.38645
63677.6,58696.6,-54.56,2.38645
75120,65198,150.04,2.38749
105045,103927,141.36,2.38852
78921.6,67310.9,60.76,2.38955
81708,50417.2,29.76,2.38955
70593.6,51282.7,27.28,2.39059
82579.2,80572.7,93,2.39059
58389.6,56706.4,110.36,2.39162
78589.6,85388.9,94.24,2.39369
74749.6,110096,109.12,2.39472
81230.4,58847.9,47.12,2.39575
78344.8,92765.6,137.64,2.39679
106842,86214.7,560.48,2.39679
57856,38201.9,35.96,2.39782
98445.6,71105.3,19.84,2.39885
80340.8,59702.3,73.16,2.39989
82057.6,68764.2,624.96,2.39989
88681.6,96143.4,281.48,2.40092
75902.4,57683.6,110.36,2.40195
86107.2,77927.8,100.44,2.40298
81691.2,69292.4,76.88,2.40298
63814.4,53907.8,1449.56,2.40402
89713.6,89132.4,271.56,2.40402
76122.4,61903.3,9512.04,2.40402
80796.8,61830.1,38.44,2.40505
100859,88383.5,182.28,2.40608
82614.4,63778.2,17.36,2.40608
86473.6,67942.1,112.84,2.40712
67644,47479.6,45.88,2.40712
70858.4,72099.8,84642.4,2.40815
60646.4,52106,657.2,2.43294
76155.2,51953.5,76.88,2.43604
86943.2,132684,128.96,2.43914
81136.8,96653,3190.52,2.44121
83769.6,62364.6,75.64,2.44121
101815,93687,581.56,2.44328
72466.4,79400.9,138.88,2.44534
71196.8,53705.6,116.56,2.44741
87960.8,56423.7,679.52,2.44741
80275.2,96971.7,119.04,2.44741
89767.2,91256.6,296.36,2.44844
87609.6,78869,157.48,2.44947
63814.4,63147,104.16,2.44947
92538.4,75713.2,91.76,2.45051
104654,110594,469.96,2.45154
99146.4,123417,59.52,2.45361
104371,83737.2,345.96,2.45567
83016.8,72071.3,27804.5,2.45877
72544.8,71963.4,122.76,2.4815
111687,125340,1417.32,2.48357
68828,64852,-8.68,2.48667
104686,95693.3,203.36,2.48873
97422.4,107994,662.16,2.48873
83934.4,95636.2,1435.92,2.49183
88596,129244,168.64,2.49183
117224,127720,434,2.49286
72987.2,87958.2,141.36,2.49286
96608.8,90687.4,52.08,2.4939
74220.8,71114,138.88,2.4939
73332.8,70930.5,38458.6,2.4939
88161.6,81217.5,83.08,2.49596
65100,60597.6,10527.6,2.497
109966,102719,507.16,2.49803
67493.6,60285.1,99.2,2.49803
78710.4,74577.3,214.52,2.52282
88450.4,75228.3,933.72,2.52386
101147,88761.7,487.32,2.52592
91771.2,103963,291.4,2.53315
77096.8,122223,458.8,2.56931
91971.2,83773.2,85.56,2.57241
79440.8,60597.6,45.88,2.57345
82739.2,60765,184.76,2.57448
88488,64947.5,109.12,2.57654
75410.4,76335.6,42.16,2.58378
87955.2,56069.1,17206.2,2.58688
83239.2,48103.3,78.12,2.58894
84283.2,89782.2,187.24,2.59101
88248,70432,529.48,2.59307
69957.6,71293.8,130.2,2.59411
71801.6,55027.5,187.24,2.59514
86989.6,70892,109.12,2.59721
87704.8,72762,200.88,2.59721
77522.4,88176.4,936.2,2.59927
75269.6,69704.1,17.36,2.60237
63580.8,73326.2,71.92,2.60237
76873.6,64736.7,39.68,2.64783
77184.8,60343.4,186,2.65196
73840.8,54279.8,86.8,2.65506
73348.8,54416.2,70.68,2.65609
88325.6,57709.6,93,2.65816
78490.4,87322,45.88,2.65816
