"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
74313.6,72262.2,679.52,6.46784
60532.8,49855.4,3789.44,6.47591
74486.4,60767.4,347.2,6.47692
68759.2,63546.3,43697.6,6.48197
70675.2,52728.5,2811.08,6.485
97026.4,115739,850.64,6.48802
86979.2,105846,1736,6.48802
85821.6,104506,1385.08,6.49105
67239.2,59568.4,16959.5,6.50114
58889.6,48646.4,328.6,6.53445
67856.8,60808.4,9214.44,6.56573
94609.6,133338,465,6.5738
87540.8,127925,42465,6.57683
82529.6,115391,1346.64,6.57683
75918.4,57780.3,27988,6.60711
80071.2,95923.9,713,6.61013
74974.4,96534,503.44,6.61215
76904.8,94688.9,25731.2,6.61215
92415.2,106030,6197.52,6.61619
92440,95516,4548.32,6.61821
67172,83093.6,89.28,6.62426
67823.2,65035.5,32112.3,6.6283
71384,78723.9,1794.28,6.63436
81170.4,85783.2,689.44,6.63839
69992,68893.2,50363.8,6.6394
68756.8,74237.6,1370.2,6.71711
72300,74397.5,520.8,6.73124
71675.2,93319.9,47013.4,6.73931
66193.6,66092,13227.1,6.75142
73424,79077.3,83.08,6.75142
55918.4,57367.4,4475.16,6.75445
80783.2,111108,487.32,6.75546
94392.8,130596,51173.6,6.75546
73170.4,72917,2201,6.75647
74763.2,99689.8,2471.32,6.75647
77627.2,80546.7,17451.8,6.75848
65341.6,69347,32283.4,6.76151
80113.6,107258,405.48,6.76252
69816,81713.5,9631.08,6.76353
93435.2,114760,3408.76,6.76656
80668,117745,53439,6.76757
86861.6,106427,1113.52,6.76757
68541.6,78520.5,1886.04,6.82105
69428,60865.4,6061.12,6.85738
76581.6,105742,664.64,6.92096
66083.2,67030.7,355.88,6.9583
70028,72979,200.88,7.00271
88309.6,82008.6,230.64,7.035
75488,62302.6,64085.7,7.03601
65495.2,74051.6,66814.9,7.03904
79544,110901,1145.76,7.04206
77386.4,96023.1,38345.8,7.06326
72971.2,66965,9752.6,7.0683
88162.4,96906,612.56,7.07234
92917.6,102939,3211.6,7.07537
62076.8,47216.7,16302.3,7.13289
72209.6,75248.2,34826.6,7.1339
95101.6,111367,1098.64,7.13693
77568,82854.3,368.28,7.13996
66548.8,56056.7,7855.4,7.145
81410.4,84188.6,29611.2,7.14601
75999.2,68524.9,29911.3,7.15005
85753.6,89281.2,33885.5,7.18537
78976.8,102234,221.96,7.18739
82094.4,95367.2,2549.44,7.1884
70552.8,94386.3,17994.9,7.19546
64557.6,42558,16650.7,7.19647
85268,98885,105.4,7.1995
78400.8,67438.6,27304.8,7.20151
67856,64059.6,10949.2,7.20252
61439.2,60710.4,181.04,7.20353
71350.4,58557.8,20793.6,7.20555
67688.8,64220.8,202.12,7.20555
96010.4,126665,558,7.2106
65982.4,82969.6,34499.3,7.21564
73968.8,69684.3,520.8,7.26207
77206.4,74684,1091.2,7.26307
65203.2,41595.8,35553.3,7.2661
73352.8,103952,4261.88,7.26711
74896.8,57105.7,261.64,7.26812
70334.4,99981.2,899,7.27014
75403.2,85994,734.08,7.27115
88184.8,80286.3,1776.92,7.27115
62944.8,41752,146.32,7.27922
75377.6,78370.5,4078.36,7.28124
68034.4,84449,48016.5,7.30445
84453.6,80106.5,3664.2,7.30647
71657.6,62193.4,46557,7.31152
71307.2,77234.6,23077.6,7.31252
76566.4,109920,42698.2,7.31454
70837.6,84408,265.36,7.31757
68004.8,61692.5,4206.08,7.31757
72767.2,85407.5,275.28,7.31858
76286.4,81267.1,8273.28,7.31959
79319.2,91969.6,961,7.32161
70748.8,102247,75155.2,7.32161
61810.4,71975.8,200.88,7.32262
82049.6,99916.7,18926.1,7.3317
82086.4,77105.7,178.56,7.33372
63196,56200.5,6177.68,7.38115
